|ГЛОССАРИЙ|
Русские термины|Английские термины|Марийские термины
Документы и параметры настройки|Documents and Settings|документ ден келыштарымаш параметр
стрелка вниз|drop-down arrow|ӱлыкыла умдо
Ввод|entry|пуртымаш
Интернациональные символы|International characters|тӱнямбал тиште
Анализ использования|usage analysis|кучылтмашым лончылымаш
Действительный XML|valid XML|йӧрышӧ XML
(диаграмма) с областями|Area Chart|(диаграмме) кундемла дене
[веб-] узел|Internet site|[веб] -кыл
[зависимый] переключатель|option button|чӱктыш-йӧртыш
1. громкость; 2. том|Volume|1. йӱк кугыт; 2. том
1. разрыв, прерывание 2. разорвать, прервать|Break|1. кӱрлмаш; 2. кӱрлаш
1. рисунок, картинка 2. образ|image|1. сӱрет; 2. сын
ASCII-знаки|ASCII|ASCII-тамга
XML-элемент|XML element|XML-элемент
абзац|paragraph|у корно
абсолютная ссылка|absolute reference|йалтакап кылвер
авто|auto|шке
автоархивация|AutoArchive|шкеоссерлымаш
автозамена|AutoCorrect|шкевашталтмаш
Автомасштаб|Auto Scale|шкекугыт
автоматизировать|automate|шкевуя ыштыкташ
автоматически (упорядочить значки)|Auto Arrange|шкевуя (тамгам радамлаш)
автоматический|automatic|шкевуя ыштыкташ
автоматическое обновление|automatic updating|шкевуя уэмдалтмаш
автоматическое обновление|automatic updating|шкевуя уэмдалтмаш
автономный|offline|шкевуя
автоподбор, подбор по размеру|AutoFit|шке погымаш, кугыт почеш погымаш
автор|author|автор
авторизация, проверка прав доступа|authorization|пураш лийме кертмыкым тергымаш
автосумма, автосуммирование|AutoSum|шкеушык, шке ушымаш
автотекст|AutoText|шкетекст
автофигуры|AutoShapes|шкефигур
автофильтр|AutoFilter|шкешокте
автоформа|AutoForm|шкеформо
автоформат (тж. автоматическое форматирование)|AutoFormat|шкекугыт (тг. шкекугытлымаш)
адаптер|Adapter|адаптер
администратор|administrator|виктарыше
администратор сети|network administrator|вот виктарыше
адрес|address|адрес
адрес гиперссылки|hyperlink address| гиперссылке адрес
адрес электронной почты|e-mail address|электрон почто адрес
адресная книга|address book|адрес книга
адресная строка|Address bar|адрес корно
активное окно|active window|почмо окна
активный|Active|почмо
активный документ|active document|почмо документ
активный объект|active object|почмо объект
алгоритм|algorithm|алгоритм
алфавитный|alphabetic|алфавит 
альбомная|Landscape|альбом
амперсанд|ampersand|амперсанд
анализ|Analyze|анализ
анимация|animation|тарванылмаш
анимация;  подвижный|animate; animated|тарванылше
анонимный|anonymous|лӱмдымӧ
антивирус|antivirus|вирус деч аралтыш
апостроф|apostrophe|апостроф
аргумент|argument|аргумент
архив|archive|оссер
архивировать|archiving|оссерлаш
атрибут|attribute|атрибут
аудио|Audio|аудио
база данных|database|чумыр пого
база данных Microsoft Access|Microsoft Access database|Microsoft Access чумыр пого
база данных Microsoft SQL Server|Microsoft SQL Server database|Microsoft SQL Server чумыр пого
байт|byte|байт
бегунок|scroll box|коштшо
бегунок|slider|коштшо
Бегущая строка|scrolling text|кайыше корно
Без имени|untitled|лӱмдымӧ
безопасность|security|лӱдыкшыдымылык
безопасный|secure|лӱдыкшыдымӧ
бета-версия|beta version|бета-версий
бибилиотека|library|книгагудо
библиотека документов|Document Library|документ кудо
библиотека типов|type library|тип кудо
бит|bit|бит
бит/с|bps|с/бит
бит/с, бод|baud|с/бит, бод
блок, блокировать|Block|тӱкылтыш, тӱкылаш
блокировка; блокировать, запирать|lock|тӱкылымаш, тӱкылаш 
блок-схема|flowchart|схеме-блок
боковая панель|sidebar|ӧрдыж оҥа
Боковые поверхности|Sides|ӧрдыж ӱмбал
броская цитата|pull quote|перныше цитат
брошюра|booklet|брошюр
буква диска|drive letter|диск буква
буквица|drop cap|шолдыра буква
бумага|paper|кагаз
буфер обмена|clipboard|вашталтыш буфер
Буфер обмена Office|Office Clipboard|Office вашталтыш буфер
быстрая установка|express installation|писын шындымаш
быстрая установка|express setup|писын шындымаш
быстрый|Fast|писе
быстрый просмотр|Quick View|писын ончымаш
В виде значка|Display as icon|тамга гай
В виде, отображать как, выводить как|Display as|... семын ончыкташ, …семын лукмаш
В границах окна|Wrap to window|окна чекыште
В поле|In field|аланыште
в точности|Exactly|лачымын
Важность|Importance|кӱлешлык
Варианты|Suggest|йӧн-влак
Вверх|Move Up|кӱшкӧ
ввести|enter|пурташ
ввод данных|Data Entry|данный-влакым пуртымаш
ввод-вывод|I/O (input/output)|пуртымаш-лукмаш
вводить|input|пурташ
"Веб (с заглавной буквы если используется отдельно, со строчной буквы если используется в составе сложных слов, например ""веб-страница"", ""веб-сервер"" и т.п.)"|web|веб
веб-компоненты|Web components|веб-ужаш-влак
веб-обсуждение|Web discussion|веб-каҥашымаш
веб-папка|Web folder|веб-папке
веб-справка|Web Help|веб-полыш
веб-страница|Web Page|веб-лышташ
веб-узел|Web site|веб-кыл
веб-часть|Web Part|веб-ужаш
ведение журнала|logging|журнал возымаш
вернуть|Redo |пӧртылташ
вернуться|Go Back|пӧртылаш
вернуться|return|пӧртылаш
вероятность|Probability|лийын кертмаш
версия|Version|версий
вертикальная надпись, вертикальный текст|Vertical Text|тура возыш
вертикальная полоса прокрутки|vertical scroll bar|кондыштарыме тура корно
вертикальный|Vertical|тура
верх, верхний|Top|кӱшыл
верхний колонтитул|header|кӱшыл колонтитул
верхний колонтитул|page header|кӱшыл колонтитул
вес, толщина|Weight|нелыт, кÿжгыт
Вид|View|сын
вид кнопки|button image|кнопко сын
Вид обзора|Browse View|обзор сын
видео|video|видео
видеоадаптер|video adapter|видеоадаптер 
видимый|visible|койшо
виртуальный|virtual|кончышо
виртуальный сервер|virtual server|кончышо сервер
вирус|virus|вирус
Вкл|On|чӱкташ
вкладка|tab|ешартыш, уштартыш
Вкладка свойств|property sheet|палык ешартыш
включить|Enable|чӱкташ
включить|turn on|чӱкташ
"владелец (обычно исп. Перевод ""стать владельцем"", определить владельца"" и т.п., дословный перевод не используется."|owner|оза
"владелец (обычно исп. Перевод ""стать владельцем"", определить владельца"" и т.п., дословный перевод не используется."|ownership|оза
влиять|affect|овыраш
вложение|attachment|ешартыш
вложенное меню|child menu|иге меню
вложенное меню|submenu|иге меню
вложить|Attach|ешараш (пышташ)
внедренная ссылка|embedded hyperlink|шыҥдарыме кылвер
внедренный объект|embedded object|шыҥдарыме объект
внедрить (объект)|embed|(объектым) шыҥдараш
внешние данные|external data|тӱжвал пого
внешний|external|тӱжвал
Вниз|Down|ӱлыкӧ
Вниз|Down|ӱлыкӧ
Вниз|move down|ӱлыкӧ
Внимание!|Attention|тӱткӧ лийза!
Внимание!|Attention|тӱткӧ лийза!
внутренний модем|internal modem|кӧргӧ модем
во весь экран, в полноэкранном режиме|Full screen|уло экранлан, уло экран дене
водяной знак, подложка, филигрань|watermark|вÿд тамга, филигрань
регистрация|check In|возалтмаш
||
возможность|feature|йӧн
войти|log on|пураш
войти|login|пураш
войти в сеть|log on to the network|вотыш пураш
Вокруг|Around|йыр
вопросительный знак|question mark|йодыш пале
Вопросы и ответы|FAQ|йодыш ден вашмут-влак
Вопросы и ответы|frequently asked questions|йодыш-вашмут
вопросы и ответы|questions and answers|йодыш ден вашмут-влак
восклицательный знак|exclamation point|кычкыралтыш пале
Воспроизведение|Play|угыч колтымаш
восстановить|recover|мӧҥгештараш
восстановить|Restore|мӧҥгештараш
восстановить|Undelete|мӧҥгештараш
восстановление документа|document recovery|документым мӧҥгештарымаш
Вписать в окно|Fit to Window|окналан келыштараш
вписывание текста, вписать текст|Fit text|текстым возымаш, текстым  возаш
временный|Temporary|жаплан ыштыме
время|Time|жап
время выполнения, продолжительность выполнения|run-time|ыштыме жап
Время начала|Start time|тӱҥалме жап
время окончания|End time|пытарыме жап
вручную|Manual|кид дене
Все|All|чыла
Все окна|More Windows|чыла окна
все поля|All fields|чыла алан
Все программы|All Programs|чыла программе
Все программы|All Programs|чыла программе
все прописные|all caps|чыла буква кугу
все элементы, все объекты|All items|чыла элемент, чыла объект
всего, итог|Total|чылаже
всплывающая подсказка|ScreenTip|лекше каҥаш
всплывающее окно|pop-up window|лекше окна
вставить|Paste|шындаш
вставить ссылку|Paste Link|ссылкым шындаш
вставить ярлык|Paste Shortcut|сынтамгам шындаш
Вставка|Insert|шындымаш
вставка данных|Insert Data|данный-влакым шындымаш
Вставка файла|Insert File|Файлым шындымаш
вставка, наложить поверх|overstrike|шындымаш, ӱмбак шындымаш
встреча|appointment|вашлиймаш
встроенный|built-in|пуртен шындыме
встроенный|inline|пуртен шындыме
встроенный рисунок|inline image|пуртымо сӱрет
Вся сеть|Entire Network|пӱтынь вот
вторичное окно|secondary window|кокымшо окна
входящее сообщение|incoming message|пурышо серыш
Входящие|inbox|пурышо
выбор|selector|ойырымаш
выборочная установка|custom installation|ойыркален шындымаш
выборочная установка|custom setup|ойыркален шындымаш
выбранная команда|selected command|ойырымо кӱштымаш
выбрать|choose|ойыраш
выбрать|pick|ойыраш
выбрать команду|select a command|кӱштымашым ойыраш
выбрать меню|select a menu|менюм ойыраш
выбрать переключатель|select an option button|чӱктыш-йӧртышым ойыраш
выбрать поле со списком|select a list box|лӱмеран аланым ойыраш
Выбрать шрифт|Choose Font|шрифтым ойыраш
вывод на экран|echo|экраныш лукмаш
выдача|handout|пуэдымаш
выделение|highlighter|палемдымаш
выделенная команда|highlighted command|палемдыме кӱштымаш
выделенный участок|selection|палемдыме вер
выделенный, выбранный|selected|палемдыме, ойырымо
выделить|allocate|палемдаш
выделить|highlight|палемдаш
Выделить все|Select All|чыла палемдаш
выделить участок текста|select a block of text|текст ужашым палемдаш
выделить участок текста|select a block of text|текст ужашым палемдаш
выделить, выбрать|select|палемдаш, ойыраш
вызов через Интернет, связь через Интернет|Internet Call|Интернет гоч ӱжмаш, Интернет кыл
выйти|quit|лекташ
выйти из сети|log off from the network|вот гыч лекташ
Выкл|Off|йӧрташ
выключить|Turn Off|йӧрташ
выключить звук|mute|йӱкым йӧрташ
выноска|balloon|лукмаш
выноска|callout|лукмаш
выноска|line callout|лукмаш
выполнение, исполнение|execution|шуктымаш
выполнить действие|carry out an action|действийым шукташ
выполнять управление, выполнять администрирование чем-либо|administer|виктараш
выполнить, исполнить|execute|ышташ
выпуск для малого бизнеса|Small Business edition|изи бизнеслан савыктыш
выравнивание|Alignment|тӧремдымаш
выравнивание|justification|тӧремдымаш
выравнивание по вертикали|vertical alignment|туран тӧремдымаш
выравнивание текста|Text alignment|текстым тӧремдымаш
выражение|expression|ончыктымаш
выражение|statement|пеҥгыдемдыш
вырезать|cut|пӱчкаш
вырезать и вставить|cut-and-paste|пӱчкаш да шындаш
выровнять|align|тӧремдаш
выровнять по сетке|Align to Grid|сетке дене тӧремдаш
выровнять по ширине|Justify|лопкыт дене тӧремдаш
Высокая|Max|кӱкшӧ
Высокая важность|high priority|кугу кӱлешлык
высокий|High|кӱкшӧ
высокое разрешение|high resolution|сай кертмашан
высота|Height|кӱкшыт
Выстроить значки|Line up Icons|тамгам радамлаш
Выступ|hanging indent|лектын шогымаш
выступ|negative indent|лектын шогымаш
выход|Exit|лекмаш
выходные данные|output|лектыш увер
Вычисление|evaluation|шотлымаш
Вычислить|Evaluate|шотлен лукташ
вычисляемый элемент|calculated Item|шотлымо элемент
галочка|check mark|кадырик
гигабайт|gigabyte|гигабайт
гиперссылка|hyperlink|гиперссылке
гистограмма|Column Chart|гистограмме
глава|chapter|ужаш
главная страница|master page|тӱҥ лышташ
главный [компьютер]|host|тӱҥ (компьютер)
главный документ|master document|тӱҥ документ
глоссарий|glossary|глоссарий
глубина|Depth|келгыт
Говорю по телефону|On the Phone|телефон дене кутырем
год|Year|ий
годовщина|anniversary|идалык
голубой|cyan|пелганде
горизонтальная полоса прокрутки|horizontal scroll bar|кондыштарыме тореш корно
горизонтальный, по горизонтали|horizontal|тореш, торешын
город|City|ола
Готово|Finish|ямде
градиент|gradient|градиент
Грамматика|grammar|грамматика
граница|Border|чек
граница|border|чек
граница|boundary|чек
граница окна|window border|окна чек
график|Graph|график
график|line chart|график
графический|graphic|график
графический|graphics|график
Графический объект|drawing object|график объект
графический фильтр|graphic filter|график шокте
громкоговоритель|loudspeaker|йӱккугемдыш
громкоговоритель, динамик|Speaker|йӱккугемдыш, динамик
группа|group|тӱшка
группа новостей|newsgroup|увер тӱшка
Группа переключателей|option group|чӱктыш-йӧртыш тӱшка
Группировка|group by|тӱшка
группировка|grouping|тӱшкалымаш
групповой элемент|group item|тӱшка элемент
да|Yes|туге
да для всех|Yes To All|чылалан туге
Далее|Next|умбакыже
данные XML|XML data|XML данный-влак
данные, сведения|data|данный-влак, увер-влак
дата|Date|дате
Дата создания (используется в интерфейсе Windows)|by Date|ыштыме жап
Дата создания (используется в интерфейсе Windows)|by Date|ыштыме жап
дважды щелкнуть, двойной щелчок|double-click|кок гана темдалаш, кок гана темдалмаш
двоеточие|colon|кокточко
двоичный|binary|мужыран
двойное подчеркивание|double underline|кок гана удыралмаш
двунаправленное письмо|bi-directional language|кок велыш возымо серыш
двухбайтный знак|double byte character|кок байтан тамга
двухбайтный шрифт|double-byte font|кок байтан шрифт
двухмерный|two-dimensional|кок висышан
девиз|tag line|виктарыше ой
действие|action|ыштымаш
действие|operation|ыштымаш
декодирование|decoding|кодым вашталтымаш (почмаш)
Делегирование|delegate|ӱшанен пуымаш
деления|tick marks|шеледымаш
делить|Divide|шеледаш
демонстрация|Demo|ончыктымаш
день|Day|кече
день рождения|Birthday|шочмо кече
дерево|tree|пушеҥге
десятичная дробь|decimal numbers|луан дробь
десятичный разделитель|decimal separator|луан ойыркалыше
джойстик|joystick|джостик
диагональ|Diagonal|диагональ
диаграмма|bar chart|диаграмме
диаграмма|chart|диаграмме
диаграмма по умолчанию|default chart|пеҥгыдемдыме семын диаграмме
диакритические знаки|diacritics|йӱк ойыртем тамга
диалоговое окно|dialog|мутланыме окна
диалоговое окно|dialog box|мутланыме окна
диапазон|range|кумдык
диапазон данных|data range|пого кумдык
Диафильм|Filmstrip|диафильм
Диктовка|dictation|шӱдымаш
диск|disc|диск
диск|disk|диск
дискета, гибкий диск|floppy disk|дискет, лывырге диск
дисковый накопитель (общий термин), дисковод (только для дискет)|disk drive|диск вер, дискет вер
Дисперсия|variance|дисперсий
диспетчер|Manager|диспетчер
дисплей|Display|дисплей
длина|Length|кужыт
длинное тире|em dash|кужу тире
длительность|Duration|кужык
для чтения и записи|read-write|лудаш-возаш
до, перед, ранее|Before|ончыч
добавить|add|ешараш
добавить новый|Add new|ум ешараш
добавить рисунок|Add Picture|сÿретым ешараш
добавить файл|Add File|файлым ешараш
добавить файл|Add File|файлым ешараш
доверие|trust|ӱшан
документ|document|документ
документ Office|Office Document|Offic документ
Должность|Job Title|сомылвер
домашний|home|мӧҥгысӧ
домашний телефон|home phone|мӧҥгысӧ телефон
домашняя страница|home page|мӧҥгысӧ лышташ
домен|domain|домен
дополнительная клавиатура, цифровая клавиатура|keypad|ешартыш полдышоҥа, цифран полдышоҥа
Дополнительно|Advanced|ешарен
Дополнительно|More|ешарен
Дополнительно|optional|ешартыш
Дополнительные|user-defined|ешартыш
Дополнительные сведения|Tell Me More|ешартыш увер
Дополнительные цвета|More Colors|ешартыш тӱс
дополнительный|supplemental|ешарыме
допустимый|valid|келшаш лийше
дорожка|Track|корно
доска обсуждений|discussion board|каҥашымаш оҥа
доступ|access|пураш лиймаш
доступ|access|пураш лиймаш
Доступ|Sharing|пуртык
дочерний веб-узел|subweb|иге веб-кыл
драйвер|Driver|драйвер
драйвер принтера|printer driver|принтер драйвер
драйвер устройства|device driver|йӧнештыш драйвер
древовидная структура|tree structure|пушеҥге сынан чоҥалтмаш
дробная черта|division line|дробь кореш
дробные числа|fractional numbers|дробан числа
дробь (матем.), часть (общ.)|fraction|дробь (матем.), ужаш (общ.)
друг другу, друг с другом и т.п.|Each other|икте-весылан, икте-весе ден да т.м.
Другие места|Other Places|вес вер-влак
Другие подробности|More Details|вес лончык-влак
Другое|Other|весе
дубликат|Duplicate|дубликат
дуга|arc|пӱгӧ
единица|unit|кугыт
единица измерения|unit of measurement|висыме кугыт
ежедневно|Daily|кече еда
еженедельно|Weekly|арня еда
видимый|visual|койшо
ждать, ожидать|Wait|вучаш
Ждущий режим|Stand by|вучымо режим
жесткий диск|fixed disk|пеҥгыде диск
жирный|Bold|кӱжгӧ
Журнал|history|журнал
журнал|journal|журнал
журнал|log|журнал
журнал ошибок|error log|йоҥылышлан журнал
Завершение работы|Shut Down|пашам мучашлымаш
Завершение работы|shutdown|пашам мучашлымаш
Завершение сеанса|Log Off|сеансым мучашлымаш
Заголовок|caption|вуймут
заголовок|heading|вуймут
Заголовок|title text|вуймут
Заголовок (используется в интерфейсе Windows)|by Title|вуймут
заголовок меню|menu title|меню вуймут
заголовок окна|dialog box title|окна вуймут
заголовок окна|title bar|окна вуймут
заголовок окна|window title|окна вуймут
заголовок сообщения|message header|серыш вуймут
заголовок столбца|column heading|турарадам вуймут
Загрузите бесплатно!|Free Stuff|яра пуртыза!
загрузить|boot|пышташ
загрузить|Download|пышташ
загрузить|load|пышташ
загрузить|upload|пышташ
загрузочный диск|boot disk|пуртымо диск
загрузочный диск|boot drive|пуртымо диск
Задание|Job|шӱдымаш
задание печати|print job|савыкташ шӱдымаш
задача|Task|сомыл
задачи|Tasks|сомыл-влак
Задачи для файлов и папок|File and Folder Tasks|файл ден папкылан сомыл-влак
Задержка|Delay|кучалтмаш
зазор|Gap|ло
закладка|bookmark|пыштыме пале
заключить|enclose|пеленлаш
закрепить|dock|чоткыдемдаш
закрепить, заморозить|freeze|чарен шогалташ
закрепленная панель инструментов|docked toolbar|келыштарыме ӱзгар оҥа
закрытие|Closing|петырымаш
закрыть|Close|петыраш
Закрыть|Close Find|петыраш
закрыть все|Close All|чыла петыраш
заливка|fill|чиялтымаш
Заливка|Shading|чиялтымаш
заменить|overtype|алмашташ
заменить|replace|алмашташ
заменить все|Change All|чыла алмашташ
Заметка|Note|пале
заметки о выпуске|release notes|лукмо пале
замещающий текст|alternative text|алмаштыше текст
замкнутая ссылка|loop|оҥго ссылке
замостить|Tile|кӱварлаш
занят|busy|ок ярсе
записать|record|возаш
Записки|memo|изи серыш
записывать|write|возаш
запись журнала|journal entry|журналым возымаш
запланировать|schedule|ончыклаш
Заполненный эллипс|Filled Ellipse|темыме эллипс
руководитель|leader|вуйлатыше
заполнитель|placeholder|темыш
запрос|query|йодмаш
запуск, загрузка|Startup|колтымаш
запускать|launch|колташ
запускать|start|колташ
запустить|originate|колташ
запустить|run|колташ
запустить|Run|колташ
запятая|comma|запятой
заранее определенный|predefined|ончылгоч палемдыме
зарегистрированный пользователь|registered user|возалтше пайдаланыше
зарегистрированный товарный знак|registered trademark|пеҥгыдемдыме сату тамга
зарегистрировать|register|возыкташ
застревание бумаги|paper jam|кагаз пижмаш
застряла (бумага)|jammed|(кагаз) пижын
затем по|Then by|вараже
затемнять|Dim|ӱмылаҥдаш
зачеркнутый, вычеркнутый|Strikeout|удырал кудалтыме
зачеркнутый|strikethrough|удыралме
Защита|Protection|аралтыш
защита от вирусов|virus protection|вирус деч аралтыш
защита паролем, парольная защита|password protection|шолыпмутан аралтыш
защитить|protect|аралаш
защищен от записи|write-protected|возымаш деч аралыме
заявление об отказе|disclaimer|шӧрымашан вашмут
звездочка|asterisk|шӱдыр
звонок, вызов|call|йыҥгыр, ÿжыктымаш
звук|Sound|йӱк
звук|sound clip|йӱк
звуковая плата|sound card|йӱк карте
звуковой сигнал|beep|шижтарыше йӱк
зеленый|Green|ужарге
зимнее время|standard time|теле жап
"знак ""@"""|at sign|"""@"" тамга"
"знак ""больше или равно"""|greater-than sign|"""шукырак але лач"" тамга"
"знак ""меньше"""|less-than sign|"""шагалрак"" тамга"
знак абзаца|paragraph mark|у корно тамга
знак авторского права|copyright symbol|автор права тамга
знак градуса|degree symbol|градус тамга
знак доллара|dollar sign|доллар тамга
знак конца раздела|section symbol|ужаш мучаш тамга
знак крышки|caret|петыртыш тамга
Знак ''минус''|minus sign|"""кудалтымаш"" тамга"
Знак номера|number sign|номер тамга
"знак ""плюс"""|plus sign|"""ушымаш"" тамга"
знак процента|percent sign|процент тамга
знак равенства|Equal Sign|иктӧрлык тамга
знак табуляции|Tab Character|табуляций тамга
знак, символ|character|тамга, тиште
показать значение|Show value|ыҥым ончыкташ
значение|Value|ыҥ
значение [по оси] X, значение по горизонтали|X Value|X -ын ыҥже, торешын ыҥже
значение [по оси] Y, значение по вертикали|Y Value|Y-ын ыҥже, туран ыҥже
значение по умолчанию|default value|пеҥгыдемдыме семын ыҥ
значение поля|field value|алан ыҥ
значение столбца|Column Value|турарадамын ыҥже
значок|icon|тамга
значок диска|disk icon|диск тамга
значок диска|drive icon|диск тамга
значок документа|document icon|документ тамга
значок кнопки|button icon|кнопко тамга
значок папки|folder icon|папке тамга
значок программы|program icon|программе тамга
значок ярлыка|shortcut icon|сын тамга
зона|Zone|авырыме вер
ИВТ|OEM manufacturer|ИВТ
игра|game|модыш
идентификатор|ID|идентификатор
идентификатор|identifier|идентификатор
Из документа|Link to Content|документ гыч
Из файла|From File|файл гыч
избранное|favorite|ойырен налме
извлечение|check out|лукмаш
извлечение|Check-out|лукмаш
извлечь|Extract|лукташ
извлечь|retrieve|лукташ
Изменен (используется в интерфейсе Windows)|By Modified|вашталтыме
